Phylum	Class	Order	Family	Genus	CO2_Num	CO2_Positive	CO2_Negative	CO2_Stat	drought_Num	drought_Positive	drought_Negative	drought_Stat	nitrogen_Num	nitrogen_Positive	nitrogen_Negative	nitrogen_Stat	phosphorous_Num	phosphorous_Positive	phosphorous_Negative	phosphorous_Stat	warming_Num	warming_Positive	warming_Negative	warming_Stat
Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	-	NA	NA	NA	NA	NA	NA	NA	NA	12	16.6666666666667	83.3333333333333	Decrease	6	0	100	Decrease	NA	NA	NA	NA
Proteobacteria	Gammaproteobacteria	-	-	-	113	64.6017699115044	35.3982300884956	Increase	81	37.037037037037	62.962962962963	Decrease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	-	-	58	67.2413793103448	32.7586206896552	Increase	51	33.3333333333333	66.6666666666667	Decrease	77	31.1688311688312	68.8311688311688	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	24	16.6666666666667	83.3333333333333	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Ellin6067	NA	NA	NA	NA	NA	NA	NA	NA	7	0	100	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	NA	NA	NA	NA	NA	NA	NA	NA	12	16.6666666666667	83.3333333333333	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Proteobacteria	Gammaproteobacteria	Diplorickettsiales	-	-	NA	NA	NA	NA	NA	NA	NA	NA	12	83.3333333333333	16.6666666666667	Increase	NA	NA	NA	NA	NA	NA	NA	NA
Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	12	83.3333333333333	16.6666666666667	Increase	NA	NA	NA	NA	NA	NA	NA	NA
Proteobacteria	Gammaproteobacteria	Xanthomonadales	-	-	18	77.7777777777778	22.2222222222222	Increase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rokubacteria	-	-	-	-	7	100	0	Increase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rokubacteria	NC10	-	-	-	7	100	0	Increase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rokubacteria	NC10	Rokubacteriales	-	-	7	100	0	Increase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	82.3529411764706	17.6470588235294	Increase
Verrucomicrobia	Verrucomicrobiae	Opitutales	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	100	0	Increase	NA	NA	NA	NA
Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	100	0	Increase	NA	NA	NA	NA
WPS-2	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	11.1111111111111	88.8888888888889	Decrease
WPS-2	unidentified	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	100	Decrease
WPS-2	unidentified	unidentified	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	100	Decrease
WPS-2	unidentified	unidentified	unidentified	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	100	Decrease
WPS-2	unidentified	unidentified	unidentified	unidentified	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	100	Decrease
