"OTU"	"Deng_Y_2012"	"Raut_S_2018_1"	"Raut_S_2018_2"	"Raut_S_2018_3"	"Xia_W_2017"	"Yang_S_2019"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu4941"	-0.0156347138679872	0.278547435761949	0.608869230151727	-0.364671334817994	3.03207042017864	-0.303636207891221	6	3.23554482951511	0.539257471585852	1
"Otu495"	NA	0.956714598649926	-0.287208214136242	0.631878729866325	NA	NA	3	1.30138511438001	0.43379503812667	1
"Otu4961"	-0.0846383747614957	NA	NA	-0.33451099712629	NA	-0.402890432898822	3	-0.822039804786608	-0.274013268262203	-1
"Otu497"	NA	0.20634134706793	0.629745408836983	0.843734462185585	NA	NA	3	1.6798212180905	0.559940406030166	1
"Otu498"	0.21973207531468	0.00973231956962615	0.0667766323673089	-0.257782393277028	NA	NA	4	0.038458633974587	0.00961465849364676	1
"Otu499"	0.42074438655707	0.00104349569818061	-0.329720284169416	-0.991090276006728	NA	NA	4	-0.899022677920893	-0.224755669480223	-1
"Otu5"	1.05771914720147	0.697977758285119	0.241207771996346	-0.0311734174550194	NA	NA	4	1.96573126002792	0.491432815006979	1
"Otu50"	-0.585060383611088	-0.864511714753166	0.775473416480182	-0.175077727441946	NA	NA	4	-0.849176409326018	-0.212294102331505	-1
"Otu500"	NA	-0.422030264945573	0.47902808410619	-0.371449371611851	NA	NA	3	-0.314451552451234	-0.104817184150411	-1
"Otu501"	NA	0.564438137583374	-0.584346089185448	0.350699559355486	NA	-0.0570510234395459	4	0.273740584313866	0.0684351460784666	1
"Otu502"	NA	-1.02655489706538	-0.348277940204936	1.61166243462945	NA	NA	3	0.236829597359134	0.0789431991197113	1
"Otu503"	NA	-0.357549486119075	-0.703721788323116	0.118279710121125	NA	NA	3	-0.942991564321066	-0.314330521440355	-1
"Otu506"	-0.560151683588802	NA	NA	NA	0.951829779138764	0.571080150742409	3	0.962758246292371	0.32091941543079	1
"Otu5060"	-0.53155068977055	1.15684736596611	-0.0929736583816084	NA	NA	0.396036712296617	4	0.928359730110569	0.232089932527642	1
"Otu507"	NA	-1.06222637545372	-0.0905038265042083	-0.624865703313331	NA	-0.171260453943068	4	-1.94885635921433	-0.487214089803582	-1
"Otu508"	1.02668831808355	-0.34683597998585	2.48339995184869	NA	NA	NA	3	3.16325228994639	1.05441742998213	1
"Otu5099"	-0.560151683588802	-0.674393244854982	-0.032344012975622	NA	0.985705427746636	-0.0444063598183312	5	-0.325589873491101	-0.0651179746982202	-1
"Otu51"	0.0775062533682406	-0.806268885148346	0.504058009120962	1.40154022660669	0.159020123485833	0.0344717892732346	6	1.37032751670661	0.228387919451102	1
"Otu510"	NA	-0.230980375748313	0.709429179505851	-0.270692364855784	NA	-0.161143482969939	4	0.046612955931815	0.0116532389829538	1
"Otu511"	NA	1.24776321191574	-0.211619831088852	0.37790236401331	NA	NA	3	1.4140457448402	0.471348581613399	1
"Otu512"	0.288697899784861	NA	NA	NA	-1.30573888234142	-0.570446459307928	3	-1.58748744186449	-0.529162480621496	-1
"Otu513"	NA	-0.511208528004873	-0.289744086174121	0.0748064256353358	NA	NA	3	-0.726146188543658	-0.242048729514553	-1
"Otu514"	NA	-0.536823494924702	1.73545123938618	0.264035572936321	NA	NA	3	1.4626633173978	0.4875544391326	1
"Otu515"	NA	-0.697640696677361	-0.149733091727151	NA	NA	-0.850388777502284	3	-1.6977625659068	-0.565920855302265	-1
"Otu516"	-0.0792587582496331	0.240098746081892	-0.146516334976033	-2.54605164135723	NA	NA	4	-2.531727988501	-0.632931997125251	-1
"Otu517"	NA	0.620853262611943	1.22343967460594	0.541463110486393	NA	NA	3	2.38575604770428	0.795252015901425	1
"Otu518"	NA	0.215496549162698	0.778584118783975	-0.594072826462455	NA	NA	3	0.400007841484218	0.133335947161406	1
"Otu520"	NA	0.576957120585553	-0.859711135904036	-1.62559787935255	NA	NA	3	-1.90835189467103	-0.636117298223678	-1
"Otu5204"	0.180294849423557	NA	NA	NA	0.159020123485833	0.20606660658967	3	0.54538157949906	0.18179385983302	1
"Otu521"	NA	-0.172268413401777	0.297320422717738	1.11970009537681	NA	NA	3	1.24475210469277	0.414917368230924	1
"Otu522"	-0.172604402672815	-0.0784423199461194	-1.48484111038272	NA	NA	-0.987246824542056	4	-2.72313465754371	-0.680783664385928	-1
"Otu523"	NA	-1.0076775021033	1.06395366847346	1.77599451193134	NA	NA	3	1.8322706783015	0.610756892767167	1
"Otu524"	-0.0792587582496331	-0.274534578562714	4.31977961654237	-0.698013321159722	NA	NA	4	3.2679729585703	0.816993239642575	1
"Otu525"	NA	-0.50250043091682	-0.635514721623242	-0.91025499551916	NA	NA	3	-2.04827014805922	-0.682756716019741	-1
"Otu5251"	-1.55805614112445	NA	NA	NA	-2.04359118843555	1.23993272901042	3	-2.36171460054958	-0.787238200183193	-1
"Otu527"	0.180298557523164	0.257818119856127	0.0770372554999377	0.751781505054317	NA	-0.650104092601857	5	0.616831345331689	0.123366269066338	1
"Otu53"	NA	0.481538803983799	-0.0929522416656021	-0.699021695835148	NA	NA	3	-0.310435133516951	-0.103478377838984	-1
"Otu530"	NA	0.420154104480351	0.146044169221105	2.30208070643097	NA	NA	3	2.86827898013243	0.956092993377475	1
"Otu531"	NA	-1.68871669128174	0.617982009258113	-0.582529394091584	NA	NA	3	-1.65326407611521	-0.551088025371737	-1
"Otu5310"	0.697434748026171	-1.81903180586751	0.0675302969070145	-0.411885020983508	NA	NA	4	-1.46595178191783	-0.366487945479458	-1
"Otu532"	NA	-2.78068325114329	-0.912278004161488	-1.93501660663485	NA	-1.83182852520802	4	-7.45980638714765	-1.86495159678691	-1
"Otu535"	NA	-0.86494205962053	0.216020055523826	-0.582752794265436	NA	NA	3	-1.23167479836214	-0.410558266120713	-1
"Otu537"	NA	1.28453703889059	0.766455848464104	1.92039982276658	NA	NA	3	3.97139271012127	1.32379757004042	1
"Otu538"	NA	-2.31786529698313	-1.13664126826253	-0.0893961507658959	NA	NA	3	-3.54390271601156	-1.18130090533719	-1
"Otu54"	1.34306849343375	-0.104616570144736	0.697600870774015	0.487269192498322	-0.261594051810778	-0.400440120867459	6	1.76128781388311	0.293547968980519	1
"Otu540"	NA	-1.13637613453711	-0.210460972818166	-0.463507252816473	NA	NA	3	-1.81034436017175	-0.60344812005725	-1
"Otu5409"	NA	-0.129265776982374	1.70638074099716	1.70216097304145	NA	NA	3	3.27927593705624	1.09309197901875	1
"Otu541"	NA	-0.737098796327099	-0.196425283824109	-0.178455374083724	NA	NA	3	-1.11197945423493	-0.370659818078311	-1
"Otu543"	NA	-1.14599806978532	0.442035187064694	-0.436439195652863	NA	NA	3	-1.14040207837349	-0.380134026124496	-1
"Otu545"	NA	0.594465948584002	0.827524482242627	0.00252020146688972	NA	NA	3	1.42451063229352	0.474836877431173	1
"Otu546"	NA	-0.595857192925039	0.443623986746843	0.761795361540445	NA	NA	3	0.609562155362249	0.20318738512075	1
"Otu547"	0.18533355633166	-0.403498752818736	1.8155836103367	NA	0.233288673659868	-0.0231743693414389	5	1.80753271816805	0.361506543633611	1
"Otu548"	NA	0.14953639837307	0.185759709902206	-0.932361710971547	NA	NA	3	-0.597065602696271	-0.199021867565424	-1
"Otu549"	0.180298557523164	-0.613121524390081	-0.0344325117280359	-1.34595384991993	NA	NA	4	-1.81320932851488	-0.453302332128721	-1
"Otu55"	NA	-0.442598575006662	-0.68634960301992	1.79562223847563	NA	NA	3	0.666674060449048	0.222224686816349	1
"Otu550"	NA	-0.396186345940981	-0.638908689089038	0.391057781533298	NA	NA	3	-0.644037253496721	-0.214679084498907	-1
"Otu5506"	-1.08010950822769	0.663672644511824	0.207050371765678	0.628618486603355	NA	2.69927699291642	5	3.11850898756959	0.623701797513917	1
"Otu5518"	0.42074438655707	-0.124916907830898	0.604483992270495	-0.854653095075257	NA	NA	4	0.04565837592141	0.0114145939803525	1
"Otu5521"	-0.850970902124326	NA	-0.351599809952987	NA	NA	0.696440232202077	3	-0.506130479875236	-0.168710159958412	-1
"Otu5523"	NA	1.13862398358988	2.09774828431113	-0.988876140274554	NA	NA	3	2.24749612762646	0.749165375875485	1
"Otu5560"	0.367809104745813	0.851144676849655	-0.382125912955118	NA	0.437905954825318	NA	4	1.27473382346567	0.318683455866417	1
"Otu558"	NA	0.405469805767231	0.462283638071696	-1.7926130760121	NA	NA	3	-0.924859632173173	-0.308286544057724	-1
"Otu559"	NA	-0.178980782294717	0.381122270256654	2.31494590599508	NA	-0.121287739501006	4	2.39579965445601	0.598949913614003	1
"Otu56"	NA	-0.235439618244525	-1.24272265218007	-1.24831243461556	NA	NA	3	-2.72647470504016	-0.908824901680052	-1
"Otu560"	NA	-1.0315695446866	0.750237093963889	0.54064037590347	NA	NA	3	0.259307925180759	0.086435975060253	1
"Otu561"	NA	-0.413006558882938	-0.70321934114723	1.93817005728454	NA	NA	3	0.821944157254372	0.273981385751457	1
"Otu565"	NA	-1.03078626861447	1.24880902147432	0.843329492264911	NA	NA	3	1.06135224512476	0.353784081708254	1
"Otu566"	NA	-0.0967939862676143	3.23879790444694	0.448519464930091	NA	NA	3	3.59052338310942	1.19684112770314	1
