"OTU"	"Che_R_2018"	"DeAngelis_M_2015_1"	"DeAngelis_M_2015_2"	"DeAngelis_M_2015_3"	"Waghmode_R_2018"	"Zhang_K_2016"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu2168"	NA	3.69083437965615	0.523406623830893	-1.5775339365717	NA	NA	3	2.63670706691534	0.878902355638448	1
"Otu2169"	NA	0.746894165422287	2.31136976770174	1.47422741939006	NA	NA	3	4.53249135251409	1.51083045083803	1
"Otu2174"	NA	1.4373701979956	-0.207582819197006	0.945021072491759	NA	NA	3	2.17480845129035	0.724936150430118	1
"Otu2179"	NA	0.821942759698221	1.80697532542962	-3.93212026297076	NA	NA	3	-1.30320217784292	-0.43440072594764	-1
"Otu2181"	-0.789534293612978	3.21381977842381	3.6067208788353	0.534110088097489	NA	-0.67194802895267	5	5.89316842279095	1.17863368455819	1
"Otu2183"	NA	0.759565596351611	2.51584744896987	-2.65899150237209	NA	NA	3	0.616421542949391	0.205473847649797	1
"Otu2187"	NA	4.476491317303	0.609360442852891	1.51466468392006	NA	NA	3	6.60051644407595	2.20017214802532	1
"Otu219"	NA	-1.25423287773218	1.07035406248417	-3.41569391296759	NA	NA	3	-3.5995727282156	-1.19985757607187	-1
"Otu22"	-0.759945866018554	1.48586695811135	0.605633450850378	-3.09751766628837	0.727077931052129	1.38221779930307	6	0.343332607010003	0.0572221011683338	1
"Otu220"	-0.0841098411207814	NA	NA	NA	0.417553486392499	-0.39304368256009	3	-0.0596000372883724	-0.0198666790961241	-1
"Otu2206"	0.00394311206147057	NA	NA	NA	-0.0747223287933578	0.968280649679329	3	0.897501432947442	0.299167144315814	1
"Otu221"	-1.27042656691798	NA	NA	NA	1.04919222790486	0.108337454580996	3	-0.112896884432124	-0.037632294810708	-1
"Otu2211"	-0.42268633356912	1.41822339449793	0.750475211959446	-1.90858537607944	NA	NA	4	-0.162573103191184	-0.040643275797796	-1
"Otu2219"	-0.488693414859366	6.21760664159321	4.80761577436513	NA	0.444676475560051	0.285012777157011	5	11.266218253816	2.25324365076321	1
"Otu222"	0.398210297341536	NA	NA	NA	0.623908389281708	-0.662028554246834	3	0.36009013237641	0.12003004412547	1
"Otu223"	-0.728717953656885	-0.981533931923101	-0.167915189582982	-2.10406232309516	0.0298451889481418	-0.557933661893611	6	-4.5103178712036	-0.7517196452006	-1
"Otu2237"	-1.47124536227477	NA	NA	NA	-0.2944362862104	-0.382550852844272	3	-2.14823250132944	-0.716077500443147	-1
"Otu224"	-1.52114531622831	-2.04192656104818	1.46594937207355	0.09705445904527	NA	-0.902112755034838	5	-2.90218080119251	-0.580436160238502	-1
"Otu2242"	NA	-0.229070596973305	0.668217827658282	-0.190984855590675	NA	NA	3	0.248162375094302	0.0827207916981007	1
"Otu225"	-0.535761430213774	NA	NA	NA	0.198369359092819	-0.66059130505411	3	-0.997983376175065	-0.332661125391688	-1
"Otu226"	-0.629071335152735	NA	NA	NA	0.098456863017375	-0.331198982628345	3	-0.861813454763705	-0.287271151587902	-1
"Otu2260"	NA	0.342498584417792	NA	-1.10324555163392	NA	0.863998938770669	3	0.103251971554541	0.0344173238515137	1
"Otu2263"	0.575035631649972	0.699097940708131	NA	NA	-0.507831253350773	0.423253902057436	4	1.18955622106477	0.297389055266192	1
"Otu2279"	0.379914214791521	0.342498584417793	3.24189529134736	NA	NA	NA	3	3.96430809055667	1.32143603018556	1
"Otu228"	-0.378173747832204	NA	NA	NA	0.307327668670004	0.297952516011508	3	0.227106436849308	0.075702145616436	1
"Otu2280"	NA	2.85155967968562	0.125224762073176	0.399272142319908	NA	NA	3	3.3760565840787	1.1253521946929	1
"Otu229"	0.511013465708955	NA	NA	NA	0.71302665839537	-0.667157029771592	3	0.556883094332733	0.185627698110911	1
"Otu230"	0.445321290767239	NA	NA	NA	0.132856177058995	-0.849646768502704	3	-0.27146930067647	-0.0904897668921567	-1
"Otu2301"	NA	1.68768080670034	0.233692982554067	-2.11424879868113	NA	NA	3	-0.192875009426723	-0.0642916698089077	-1
"Otu2302"	NA	0.567221805317935	0.0377999569156594	-0.19017814191965	NA	NA	3	0.414843620313944	0.138281206771315	1
"Otu231"	-0.248207349654375	NA	NA	NA	0.184229087451001	0.245516048492683	3	0.181537786289309	0.0605125954297697	1
"Otu2310"	NA	0.360269490572274	2.87053041026856	-2.00024634577527	NA	NA	3	1.23055355506556	0.410184518355188	1
"Otu2312"	NA	3.53409960468765	-2.22576769229211	-1.75646778961172	NA	NA	3	-0.44813587721618	-0.149378625738727	-1
"Otu2314"	NA	0.629761278684563	-2.65856805705944	-1.23086348844809	NA	NA	3	-3.25967026682297	-1.08655675560766	-1
"Otu2315"	0.924114915723452	2.93180486241906	-1.12714691023681	-0.186403543317619	-0.34206231511778	NA	5	2.2003070094703	0.440061401894061	1
"Otu2319"	NA	1.72428358754904	NA	1.76222085370681	NA	0.570046282126267	3	4.05655072338212	1.35218357446071	1
"Otu232"	0.752888795748131	2.12737898510185	1.05180445123866	-1.28472790510714	2.42332599549429	-0.572822367345274	6	4.49784795513052	0.749641325855086	1
"Otu2321"	-0.00758909250435325	NA	NA	NA	1.85569861825151	1.41270277752332	3	3.26081230327048	1.08693743442349	1
"Otu2324"	NA	-2.61082296734992	0.0673867343718991	-0.25712612279118	NA	NA	3	-2.8005623557692	-0.9335207852564	-1
"Otu233"	NA	-3.09155033447312	0.667923018825979	0.516833201452515	NA	NA	3	-1.90679411419463	-0.635598038064875	-1
"Otu2334"	0.163017594117743	NA	NA	NA	1.20328618052943	-0.382550789559193	3	0.98375298508798	0.327917661695993	1
"Otu2337"	0.714234025927174	0.643566791880788	NA	-0.637449449683039	NA	NA	3	0.720351368124923	0.240117122708308	1
"Otu234"	-1.09839280263523	NA	NA	NA	0.19793223892298	0.268009198304042	3	-0.632451365408208	-0.210817121802736	-1
"Otu2344"	1.11982868634322	NA	NA	NA	0.236657151313569	0.100233158432716	3	1.45671899608951	0.485572998696502	1
"Otu2346"	-0.598663530411967	1.80465682481378	-0.0784262655886681	1.23471462256296	NA	1.41345075276998	5	3.77573240414608	0.755146480829217	1
"Otu2348"	NA	-2.41241212301056	-0.51785901436688	0.710840776198176	NA	NA	3	-2.21943036117926	-0.739810120393088	-1
"Otu2349"	NA	1.69658070096172	-0.535992551243713	-0.0304801444147451	NA	NA	3	1.13010800530326	0.376702668434421	1
"Otu2356"	NA	3.32384418845048	-0.409903466548466	-1.09070114520567	NA	NA	3	1.82323957669634	0.607746525565448	1
"Otu2357"	2.33494168659849	NA	NA	NA	-0.311650958396671	-0.642580970731656	3	1.38070975747016	0.460236585823388	1
"Otu2359"	NA	1.01140770408963	0.168250929895303	-0.151854529379807	NA	NA	3	1.02780410460513	0.342601368201709	1
"Otu236"	-1.40318566194619	NA	NA	NA	-0.321797660273188	-1.41611393022115	3	-3.14109725244053	-1.04703241748018	-1
"Otu2365"	NA	2.60855765415255	3.82873438680884	2.96297152664114	NA	NA	3	9.40026356760253	3.13342118920084	1
"Otu2368"	-1.00061643802785	NA	NA	NA	0.805730084257085	-1.17831920858012	3	-1.37320556235088	-0.457735187450295	-1
"Otu2369"	NA	-2.52172988005638	0.0290169255404648	0.528135433567361	NA	NA	3	-1.96457752094855	-0.654859173649518	-1
"Otu237"	NA	1.26268003409757	-0.669987196387946	2.10773798989719	NA	NA	3	2.70043082760681	0.900143609202271	1
"Otu2375"	0.0994082223921437	-0.88244369922036	1.7344047399835	-0.230336376240867	NA	NA	4	0.721032886914417	0.180258221728604	1
"Otu2376"	NA	-0.375070133902801	0.466725945898956	-4.16117104464745	NA	NA	3	-4.06951523265129	-1.35650507755043	-1
"Otu238"	NA	-1.77047209022696	0.0317813092504355	0.617037969980773	NA	NA	3	-1.12165281099575	-0.373884270331917	-1
"Otu2382"	0.829484901717042	-0.513040763491912	2.48435926121174	3.91157341943569	NA	NA	4	6.71237681887256	1.67809420471814	1
"Otu239"	1.31798373524669	-1.74082325611946	0.324381166330599	1.05688792453727	NA	NA	4	0.958429569995099	0.239607392498775	1
"Otu2392"	0.0714690369605213	-0.202072555929601	0.531620015743526	0.437338983660927	NA	NA	4	0.838355480435373	0.209588870108843	1
"Otu2395"	NA	-2.83418945373067	4.69497859731159	0.0757075165746643	NA	NA	3	1.93649666015558	0.645498886718528	1
"Otu24"	-0.707138790753544	NA	NA	NA	-0.628599643492841	-0.36628319462491	3	-1.7020216288713	-0.567340542957098	-1
"Otu240"	-0.838758759333206	NA	NA	NA	0.80848710039451	-0.478387940587274	3	-0.50865959952597	-0.16955319984199	-1
"Otu2406"	NA	1.21291636086805	0.158346916357944	-1.45668006203349	NA	NA	3	-0.0854167848074961	-0.0284722616024987	-1
"Otu2412"	-1.76484035392627	NA	NA	NA	-2.2870323417584	-0.269088048680517	3	-4.32096074436519	-1.44032024812173	-1
"Otu242"	0.610253443693411	4.65572045515946	NA	0.834972126027269	-1.01401373004759	0.150588033658955	5	5.23752032849151	1.0475040656983	1
"Otu2421"	0.788208536216331	NA	NA	NA	-1.08434952382894	-0.691296856827044	3	-0.987437844439653	-0.329145948146551	-1
"Otu2424"	0.442771324493856	NA	NA	NA	-0.876351417821113	-0.781609335852322	3	-1.21518942917958	-0.40506314305986	-1
"Otu2429"	-0.409706680689573	NA	NA	NA	-1.15081684388124	0.14728593130355	3	-1.41323759326726	-0.471079197755754	-1
"Otu243"	-0.868107650050166	NA	NA	NA	-0.923240279242291	0.558462855874811	3	-1.23288507341765	-0.410961691139215	-1
"Otu2447"	NA	1.39597958738447	3.4541065683471	3.29613438204093	NA	NA	3	8.1462205377725	2.71540684592417	1
