"OTU"	"Bastida_F_2017_1"	"Bastida_F_2017_2"	"Bouskill_N_2013_1"	"Bouskill_N_2013_2"	"Fernamdes_V_2018_1"	"Fernamdes_V_2018_2"	"Zhang_K_2016"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu678"	0.099356706520365	0.846951171757702	-0.199774246393487	NA	0.473267010523237	-0.0757066028671505	1.61587076408223	6	2.7599648036229	0.459994133937149	1
"Otu679"	NA	NA	-0.43944529010093	NA	-0.764808482821243	-0.618107785728406	-1.7534869420798	4	-3.57584850073038	-0.893962125182595	-1
"Otu68"	NA	NA	NA	NA	0.0987388277101034	-0.542289848156522	-0.0148667567035234	3	-0.458417777149942	-0.152805925716647	-1
"Otu680"	NA	NA	-1.65761744819624	NA	0.490049129286606	-0.908578405061289	1.25143331138886	4	-0.824713412582063	-0.206178353145516	-1
"Otu6809"	-0.922147385894909	0.681796842764338	1.09149345797368	NA	-0.528656412162674	0.208276736743018	NA	5	0.530763239423453	0.106152647884691	1
"Otu681"	-0.163226284583283	0.275749500231993	-2.27453194138837	NA	0.412669737067081	-0.0408450878194434	-0.705580925376475	6	-2.4957650018685	-0.41596083364475	-1
"Otu683"	0.0237366190070319	0.997468161791639	-3.6370231421058	NA	NA	0.149989915575665	0.37823962027852	5	-2.08758882545294	-0.417517765090589	-1
"Otu6832"	-0.770213743803162	0.601992133346664	1.12449363222107	NA	0.72626565085382	NA	NA	4	1.68253767261839	0.420634418154598	1
"Otu684"	NA	NA	NA	NA	-0.506392773922561	-1.23380407480216	0.288484636819857	3	-1.45171221190486	-0.483904070634955	-1
"Otu685"	2.60763628204962	-0.165201325600982	2.25870276001214	NA	-0.00669393797125807	-0.142523032349574	-1.34406641427734	6	3.20785433186261	0.534642388643768	1
"Otu686"	NA	NA	0.56734805312491	NA	-0.14969396457838	-0.887048774262003	0.683796457846959	4	0.214401772131486	0.0536004430328715	1
"Otu687"	NA	-0.997305472852799	NA	NA	0.553915318344035	0.305358419520258	0.819989274184594	4	0.681957539196088	0.170489384799022	1
"Otu6872"	NA	0.456775216492201	NA	NA	-0.149851275463716	-0.478526056963351	NA	3	-0.171602115934866	-0.057200705311622	-1
"Otu689"	NA	NA	NA	NA	0.223419776425459	-0.628073766206021	-0.413642641699298	3	-0.81829663147986	-0.27276554382662	-1
"Otu690"	-0.42312882475332	-0.0153732029822932	NA	NA	-0.522291949799253	-0.110220515165464	1.69827145875238	5	0.62725696605205	0.12545139321041	1
"Otu6907"	NA	0.642661474676092	NA	NA	0.488095943603279	1.27806576626508	NA	3	2.40882318454445	0.802941061514817	1
"Otu691"	-0.925004569063799	-0.174124245410622	NA	0.564835949061471	NA	-0.710315861166155	-1.83981942940092	5	-3.08442815598002	-0.616885631196005	-1
"Otu692"	NA	NA	NA	NA	0.738708200108923	-0.656495559542461	-0.106502753019467	3	-0.024290112453005	-0.00809670415100165	-1
"Otu695"	-0.461457220267227	-1.01928005208902	NA	0.101732267062656	NA	NA	-2.06686553264978	4	-3.44587053794337	-0.861467634485843	-1
"Otu696"	1.35165881997599	-0.551538335611943	1.01242065709801	-0.300770137036568	0.328105604371711	-0.346214233084799	-0.341628054650993	7	1.15203432106141	0.164576331580201	1
"Otu6965"	NA	NA	-0.439228335446378	NA	-0.200005600690702	0.0495052150318757	NA	3	-0.589728721105204	-0.196576240368401	-1
"Otu6969"	-1.38383185079333	-0.0514828658735749	NA	-1.52551835882546	NA	0.407824414082271	NA	4	-2.55300866141009	-0.638252165352523	-1
"Otu698"	-1.98253054280808	-0.31441492381531	-1.25929764822084	NA	0.315346079095465	-0.264743700199096	0.693539916635248	6	-2.81210081931261	-0.468683469885435	-1
