"OTU"	"Leff_W_2015_1"	"Leff_W_2015_2"	"Leff_W_2015_3"	"Leff_W_2015_4"	"Leff_W_2015_5"	"Leff_W_2015_6"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu3193"	0.612396868333479	0.831011620871213	NA	0.427179553747926	NA	0.801452130286834	4	2.67204017323945	0.668010043309863	1
"Otu32"	NA	-2.75869291048385	NA	2.35612125409382	-1.19235381317219	NA	3	-1.59492546956222	-0.531641823187407	-1
"Otu320"	NA	0.727569003744747	NA	0.106886285423044	-1.26963624175057	NA	3	-0.435180952582779	-0.145060317527593	-1
"Otu321"	NA	NA	-0.256593271985849	0.0832504077972308	-1.04683738103576	NA	3	-1.22018024522438	-0.406726748408126	-1
"Otu322"	-1.46927898730409	1.53516502786578	0.218226744809486	0.510672952970694	0.0749550646596465	NA	5	0.869740803001517	0.173948160600303	1
"Otu3229"	-1.11279397437973	NA	NA	-1.09888055490772	-0.252656548015889	NA	3	-2.46433107730334	-0.821443692434446	-1
"Otu323"	-0.00389784568700257	0.785486543946732	0.460246366142597	2.28224247977917	-0.965254672112985	-0.213845087206098	6	2.34497778486241	0.390829630810402	1
"Otu3236"	1.46494318388054	NA	NA	2.31811998966952	-0.387471375002845	NA	3	3.39559179854722	1.13186393284907	1
"Otu324"	-0.271891363244132	1.76355164330438	1.17815483558207	-0.465218787425147	NA	0.307517338512987	5	2.51211366673016	0.502422733346032	1
"Otu3240"	0.5095888522294	NA	NA	0.382339646949256	1.03830665115021	NA	3	1.93023515032887	0.643411716776289	1
"Otu3255"	-0.158988626280488	0.561713494095601	0.302070851030372	NA	NA	0.744556721056674	4	1.44935243990216	0.36233810997554	1
"Otu326"	0.613625474376623	NA	0.49927539343369	1.13919252197125	NA	-0.0564903473794771	4	2.19560304240209	0.548900760600522	1
"Otu3277"	-0.0400130212742798	0.602576998858542	0.517875830329933	1.33815036964792	-0.77550121000772	-0.123876318431682	6	1.51921264912271	0.253202108187119	1
"Otu329"	1.73086870236345	NA	-0.342647908400845	NA	NA	-0.823409641366439	3	0.564811152596166	0.188270384198722	1
"Otu33"	0.40087320492316	NA	-0.537975926604404	0.148068868208432	-0.324246236561814	NA	4	-0.313280090034626	-0.0783200225086565	-1
"Otu330"	0.0610791175460473	1.21780680081924	2.16835811366886	NA	NA	-0.270106045954105	4	3.17713798608004	0.794284496520011	1
"Otu3301"	NA	-0.946925194724203	NA	-1.41750203881194	0.159148544955185	-0.99060906492403	4	-3.19588775350499	-0.798971938376247	-1
"Otu331"	-0.311065172185812	0.314471860368298	-1.04137279506861	-0.437215718769864	0.276123853953922	-1.06783529698755	6	-2.26689326868962	-0.377815544781603	-1
"Otu332"	-0.737070843513336	NA	-0.0762570013903948	0.982413060546139	NA	-0.472907509972744	4	-0.303822294330336	-0.075955573582584	-1
"Otu3327"	0.864375494618674	NA	NA	-0.647251366412511	0.34423700347673	-0.538264239419466	4	0.023096892263427	0.00577422306585675	1
"Otu3336"	NA	NA	-0.319854652972389	0.974725263593485	0.229149220695467	NA	3	0.884019831316563	0.294673277105521	1
"Otu334"	0.825880314960777	-0.379602767236733	NA	-1.41233684846159	NA	-1.01610873792999	4	-1.98216803866754	-0.495542009666884	-1
"Otu3342"	0.0858979617194089	NA	1.14425912615881	NA	NA	-0.131586098747414	3	1.0985709891308	0.366190329710268	1
"Otu3348"	NA	-3.73265838705828	0.764954766286557	NA	NA	-0.443292697397817	3	-3.41099631816954	-1.13699877272318	-1
"Otu335"	NA	NA	3.67810702233437	-0.339512776383804	-0.590935193903891	NA	3	2.74765905204668	0.915886350682225	1
"Otu3361"	-1.30123580960625	-0.0721270888515445	-0.426673624657027	1.25368770549213	0.372576057090426	-0.700266705606802	6	-0.874039466139067	-0.145673244356511	-1
"Otu3364"	-1.56953818896058	NA	0.746521297124462	NA	NA	0.104754846255152	3	-0.718262045580966	-0.239420681860322	-1
"Otu3370"	NA	-0.583894441754945	-1.28307786151741	NA	-0.514348455158292	-0.300549754639095	4	-2.68187051306974	-0.670467628267436	-1
"Otu338"	0.0814351683644323	0.01804420660976	-0.334958800349143	-0.680046479469833	-0.648639742059922	-0.143716973157912	6	-1.70788262006262	-0.28464710334377	-1
"Otu3381"	0.611123499379379	NA	-0.194946093375696	0.016152383276547	0.10455426043382	NA	4	0.53688404971405	0.134221012428513	1
"Otu3392"	-0.168101693225777	0.496795821407919	1.05126474948522	-0.383480018715707	NA	0.932165892111246	5	1.9286447510629	0.38572895021258	1
"Otu34"	0.318599757771981	-0.443791129378304	0.0406775902341587	-0.0940392009600588	0.441261162051107	-0.11799463587724	6	0.144713543841644	0.0241189239736073	1
"Otu3402"	-1.90849502763075	1.37156231174399	1.0912970661976	NA	NA	NA	3	0.55436435031084	0.18478811677028	1
"Otu341"	NA	0.873142425473608	-1.82352373695995	1.77122086695311	NA	0.644841567380713	4	1.46568112284748	0.36642028071187	1
"Otu3413"	NA	NA	0.180498649495686	0.87841803426077	NA	0.748560968328573	3	1.80747765208503	0.60249255069501	1
